"56","45.10","50.02"
"63","42.29","49.21"
"53","38.13","47.66"
"53","36.87","50.01"
"55","38.86","50.74"
"48","43.37","51.27"
"47","44.67","51.92"
"45","47.32","50.67"
"48","52.15","47.37"
"56","47.83","47.28"
"66","52.54","44.14"
"72","53.36","47.08"
"81","55.94","45.55"
"79","57.05","45.51"
"81","53.45","49.50"
"89","57.75","48.43"
"85","62.00","43.82"
"89","57.43","40.52"
"96","56.46","42.26"
"88","59.41","38.89"
"94","55.11","40.25"
"84","57.09","43.26"
"75","61.18","38.49"
"66","65.21","41.53"
"56","64.65","41.51"
"62","61.79","38.68"
"63","61.97","38.88"
"65","61.91","38.18"
"73","62.66","34.53"
"66","58.20","35.10"
"62","60.37","35.78"
"52","60.77","33.67"
"45","62.77","30.16"
"39","58.15","30.16"
"46","61.06","32.74"
"44","64.17","37.13"
"45","64.34","33.47"
"37","60.03","35.78"
"37","62.63","38.04"
"45","61.27","42.26"
"37","61.47","46.29"
"46","56.61","46.99"
"38","52.34","50.35"
"34","54.91","53.47"
"39","57.58","55.26"
"30","58.18","59.94"
"40","56.57","62.25"
"48","58.82","66.19"
"56","60.27","64.22"
"58","65.02","66.08"
"57","65.38","64.89"
"65","64.75","63.27"
"72","67.79","65.10"
"82","70.22","66.03"
"78","73.84","62.81"
"77","68.87","62.19"
"76","68.63","66.72"
"77","69.16","65.27"
"75","65.72","65.04"
"68","64.28","65.68"
"72","66.63","70.23"
"74","65.59","66.60"
"72","66.43","70.43"
"65","63.21","71.35"
"58","61.67","72.95"
"54","65.72","72.69"
"63","70.14","72.13"
"70","74.31","74.08"
"79","75.47","78.72"
"80","77.33","75.43"
"81","81.43","70.75"
"89","81.34","72.78"
"95","79.13","76.36"
"90","83.12","74.25"
"91","83.29","71.95"
"99","81.40","73.70"
"97","78.03","70.36"
"97","76.90","70.85"
"94","78.96","67.91"
"89","76.48","64.94"
"95","79.74","61.08"
"97","77.24","57.07"
"96","79.45","61.30"
"91","82.22","65.54"
"87","86.95","62.23"
"84","89.71","63.93"
"79","91.20","61.82"
"71","86.75","60.91"
"73","83.06","61.40"
"81","86.25","58.11"
"91","82.46","57.67"
"91","82.85","53.90"
"88","77.95","48.93"
"83","79.70","44.85"
"90","77.41","42.31"
"84","75.11","44.31"
"86","76.84","44.82"
"95","74.98","47.86"
"87","77.48","44.30"
"81","79.07","49.09"
