"24","64.10","23.02"
"31","61.29","22.21"
"21","57.13","20.66"
"21","55.87","23.01"
"23","57.86","23.74"
"16","62.37","24.27"
"15","63.67","24.92"
"13","66.32","23.67"
"16","71.15","20.37"
"24","66.83","20.28"
"34","71.54","17.14"
"40","72.36","20.08"
"49","74.94","18.55"
"47","76.05","18.51"
"49","72.45","22.50"
"57","76.75","21.43"
"53","81.00","16.82"
"57","76.43","13.52"
"64","75.46","15.26"
"56","78.41","11.89"
"62","74.11","13.25"
"52","76.09","16.26"
"43","80.18","11.49"
"34","84.21","14.53"
"24","83.65","14.51"
"30","80.79","11.68"
"31","80.97","11.88"
"33","80.91","11.18"
"41","81.66","14.83"
"34","77.20","15.40"
"30","79.37","16.08"
"20","79.77","13.97"
"13","81.77","10.46"
"19","77.15","10.46"
"26","80.06","13.04"
"24","83.17","17.43"
"25","83.34","13.77"
"17","79.03","16.08"
"17","81.63","18.34"
"25","80.27","22.56"
"17","80.47","26.59"
"26","75.61","27.29"
"18","71.34","30.65"
"14","73.91","33.77"
"19","76.58","35.56"
"10","77.18","40.24"
"20","75.57","42.55"
"28","77.82","46.49"
"36","79.27","44.52"
"38","84.02","46.38"
"37","84.38","45.19"
"45","83.75","43.57"
"52","86.79","45.40"
"62","89.22","46.33"
"58","92.84","43.11"
"57","87.87","42.49"
"56","87.63","47.02"
"57","88.16","45.57"
"55","84.72","45.34"
"48","83.28","45.98"
"52","85.63","50.53"
"54","84.59","46.90"
"52","85.43","50.73"
"45","82.21","51.65"
"38","80.67","53.25"
"34","84.72","52.99"
"43","89.14","52.43"
"50","93.31","54.38"
"59","94.47","59.02"
"60","96.33","55.73"
"61","92.23","51.05"
"69","92.14","53.08"
"75","89.93","56.66"
"70","93.92","54.55"
"71","94.09","52.25"
"79","92.20","54.00"
"77","88.83","50.66"
"77","87.70","51.15"
"74","89.76","48.21"
"69","87.28","45.24"
"75","90.54","41.38"
"77","88.04","37.37"
"76","90.25","41.60"
"81","93.02","45.84"
"77","97.75","42.53"
"74","94.99","44.23"
"69","96.48","42.12"
"61","92.03","41.21"
"63","88.34","41.70"
"71","91.53","38.41"
"81","87.74","37.97"
"81","88.13","34.20"
"78","83.23","29.23"
"73","84.98","25.15"
"80","82.69","22.61"
"74","80.39","24.61"
"76","82.12","25.12"
"85","80.26","28.16"
"77","82.76","24.60"
"71","84.35","29.39"
